id,csv_ingredient,base_type,protein_type,vegetable_type
185,"spider plant leaves
African nightshade leaves
amaranth leaves
onion
cow milk
salt
water",,,onions
186,"spinach leaves
tomato
onion
salt
ghee",,,spinach
187,"spinach leaves
tomato
onion
salt
ghee",,,tomatoes
188,"spinach leaves
tomato
onion
salt
ghee",,,onions
189,"amaranth leaves
tomato
onion
salt
cooking oil",,,tomatoes
190,"amaranth leaves
tomato
onion
salt
cooking oil",,,onions
191,"stinging nettle leaves
onion
cooking oil
salt
water",,,onions
192,"cow pea leaves
onion
cooking oil
salt
sherekha
wood ash and
water
milk
water",,,onions
193,"spinach
onion
cooking oil
salt",,,spinach
194,"spinach
onion
cooking oil
salt",,,onions
195,"sweet potato leaves
onion
cooking oil
salt",potatoes,,
196,"sweet potato leaves
onion
cooking oil
salt",,,onions
197,"mushrooms
onion
peanut butter
tomato
salt
sherekha
wood ash and water
water",,,tomatoes
198,"mushrooms
onion
peanut butter
tomato
salt
sherekha
wood ash and water
water",,,onions
199,"potatoes
tomatoes
salt
turmeric
coriander
red chilli
cooking oil
fenugreek
mustar
cumin
curry leaves
lemon
sugar
water",potatoes,,
200,"potatoes
tomatoes
salt
turmeric
coriander
red chilli
cooking oil
fenugreek
mustar
cumin
curry leaves
lemon
sugar
water",,,tomatoes
201,"potatoes
tomatoes
salt
turmeric
coriander
red chilli
cooking oil
fenugreek
mustar
cumin
curry leaves
lemon
sugar
water",,,dhania
202,"garden peas
egg plants
brinjals
tomatoes
coriander
garlic
chillies
ginger
fenugreek
mustard
cumin
coriander
turmeric 
red chilli
salt
water
cooking oil",,,tomatoes
203,"garden peas
egg plants
brinjals
tomatoes
coriander
garlic
chillies
ginger
fenugreek
mustard
cumin
coriander
turmeric 
red chilli
salt
water
cooking oil",,,garlic
204,"garden peas
egg plants
brinjals
tomatoes
coriander
garlic
chillies
ginger
fenugreek
mustard
cumin
coriander
turmeric 
red chilli
salt
water
cooking oil",,,ginger
205,"garden peas
egg plants
brinjals
tomatoes
coriander
garlic
chillies
ginger
fenugreek
mustard
cumin
coriander
turmeric 
red chilli
salt
water
cooking oil",,,dhania
206,"yellow split dal
tomato
salt
turmeric 
red chilli
tomato paste
cooking oil
fenugreek
mustard 
cumin
curry
lemon
sugar
water",,,tomatoes
207,"chick peas
red chilli 
turmeric
chole masala
tomato
tomato paste
onion
cooking oil
garlic
ginger
coriander
coriander powde
cinnamon
salt
bay leaf
cloves
cumin 
lemon
water
anise",,,tomatoes
